あーにゃんみくにゃん,アナスタシア_前川みく
インディゴ・ベル,高森藍子_道明寺歌鈴
エルドリッチ・ロアテラー,白坂小梅_松永涼
岡山親善大使,乙倉悠貴_藤原肇
ガールズネットワーク,桐生つかさ_佐久間まゆ
かくりよがたり,白坂小梅_依田芳乃
ガトリング☆ビーンズ,片桐早苗_大和亜季
カワスウィーティーなボクはぁと(仮),輿水幸子_佐藤心
月下氷姫,藤原肇_鷺沢文香
サイキックエナジー,浜口あやめ_堀裕子
サイキックヒーツ,日野茜_堀裕子
サイレントスクリーマー,森久保乃々_星輝子
さつきの頃,浜口あやめ_片桐早苗
山紫水明,藤原肇_依田芳乃
ジェネレーションオブサマー,島村卯月_本田未央
シャイニー・アーリーデイズ,三船美優_安部菜々
しゅがしゅが☆み〜ん,佐藤心_安部菜々
春舞佳人／秋舞佳人,高垣楓_鷹富士茄子
スウィート・ソアー,佐久間まゆ_橘ありす
スウィートラヴァーズ,十時愛梨_三村かな子
ストレートフルート,中野有香_水本ゆかり
星纏天女,鷺沢文香_鷹富士茄子
そよかぜツヴィトーク,緒方智絵里_アナスタシア
ソラーナ・チーカ,小日向美穂_乙倉悠貴
ダークイルミネイト,二宮飛鳥_神崎蘭子
ちぇりこっと♪,椎名法子_緒方智絵里
デア・アウローラ,速水奏_新田美波
テンプテーション・アイズ,塩見周子_宮本フレデリカ
ドゥエ・ファータ,神崎蘭子_高森藍子
ドリームアウェイ,喜多日菜子_佐久間まゆ
ナチュラルハーモニー,緒方智絵里_高森藍子
なの・くらうん,久川凪_森久保乃々
にゃんセスタ,前川みく_ナターリア
忍武☆繚乱,浜口あやめ_脇山珠美
ノーティギャルズ,向井拓海_藤本里奈
ハウリングデザイア,渋谷凛_木村夏樹
白銀ラススヴィエート,アナスタシア_神崎蘭子
羽衣小町,小早川紗枝_塩見周子
春色姫君,小早川紗枝_小日向美穂
ピーチ・フレーバー,櫻井桃華_一ノ瀬志希
ビートシューター,結城晴_的場梨沙
ファミリアツイン,城ヶ崎美嘉_城ヶ崎莉嘉
フェアリーテイル＊マイテイル,小日向美穂_藤原肇
フォーリンシーサイド,川島瑞樹_村上巴
フォルトゥナ・レジーナ,黒埼ちとせ_神崎蘭子
ブルーフェイト,渋谷凛_橘ありす
ふわっとカントリー,及川雫_十時愛梨
みくにゃんご,辻野あかり_前川みく
ミステリアスアイズ,速水奏_高垣楓
ミステリックガーデン,二宮飛鳥_相葉夕美
ミス・フォーチュン,白菊ほたる_鷹富士茄子
ミミミミ☆ミミーズ,安部菜々_前川みく
モノクロームリリィ,速水奏_北条加蓮
ももべりー,櫻井桃華_橘ありす
もりさんくちゅあり,向井拓海_森久保乃々
夢結びのレクイエム,神崎蘭子_双葉杏
ららりる,双葉杏_遊佐こずえ
リアンコリック,双葉杏_夢見りあむ
リープ・スコアラー,姫川友紀_結城晴
りなりーな,藤本里奈_多田李衣菜
ルミナス・アズール・デュオ,高垣楓_神崎蘭子
レイジー・レイジー,宮本フレデリカ_一ノ瀬志希
レイ・ディスタンス,高垣楓_川島瑞樹
レッドベリィズ,橘ありす_村上巴
ローゼンティアーズ,黒埼ちとせ_北条加蓮
Ai's,高森藍子_十時愛梨
＊(Asterisk),前川みく_多田李衣菜
BRIGHT:LIGHTS,橘ありす_鷺沢文香
COUNT/LAST,大槻唯_北条加蓮
Dimension-3,一ノ瀬志希_二宮飛鳥
FrenchKisS,宮本フレデリカ_速水奏
Flowery,高森藍子_相葉夕美
HappyHappyTwin,双葉杏_諸星きらり
